customer_id,status,churn_label,churn_category,churn_reason,gender,age,senior_citizen,married,num_dependents,zip_code,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,area_id,city,latitutde,longitude,population
0196-JTUQI,Stayed,No,,,Female,59,No,No,0,95612,AHDR-OUQUJ,9,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,9.27,83.43,28,No,No,No,75.2,633.85,0.0,1336,Clarksburg,38.384648,-121.578701,1417
0196-VULGZ,Churned,,Other,Deceased,Female,78,Yes,Yes,0,92620,FQMD-JCIWF,6,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,28.71,172.26,17,No,Yes,No,84.35,474.9,0.0,531,Irvine,33.716136,-117.752574,26419
0215-BQKGS,Stayed,No,,,Male,52,No,No,0,92844,IIIC-GRGVZ,30,0,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,24.73,741.9,20,No,No,No,84.3,2438.6,0.0,587,Garden Grove,33.766476,-117.969795,23481
0218-QNVAS,Stayed,No,,,Male,22,No,Yes,1,92203,BHHC-KRKQR,71,1,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,One Year,No,Bank Withdrawal,28.34,2012.14,59,Yes,Yes,Yes,100.55,7113.75,16.99,383,Indio,33.752938,-116.230055,2743
0219-QAERP,Stayed,No,,,Male,33,No,Yes,0,93033,FMEU-GBJOZ,30,2,No,None,No,Yes,No,No,No,No,No,One Year,No,Credit Card,9.81,294.3,0,No,No,No,19.8,576.65,0.0,615,Oxnard,34.156629,-119.117218,77791
0228-MAUWC,Stayed,No,,,Male,40,No,No,0,95033,JZSM-JUQYQ,19,0,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,11.85,225.15,18,No,No,No,59.55,1144.6,0.0,1074,Los Gatos,37.160194,-121.945611,10172
0229-LFJAF,Stayed,No,,,Male,53,No,No,0,93611,EPKZ-MFTKX,72,0,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,3.66,263.52,13,No,No,No,69.65,4908.25,0.0,776,Clovis,36.917652,-119.593757,46858
0230-WEQUW,Stayed,No,,,Male,38,No,Yes,0,91364,BPNI-BCSPD,66,1,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,29,Yes,No,No,56.6,3789.2,0.0,217,Woodland Hills,34.153733,-118.593408,25988
0237-YFUTL,Stayed,No,,,Female,62,No,Yes,0,92655,EWTL-FJAWT,50,4,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,34.57,1728.5,13,Yes,Yes,Yes,109.65,5405.8,0.0,544,Midway City,33.744439,-117.98588,8660
0239-OXEXL,Stayed,No,,,Female,37,No,No,0,94619,BFVJ-LKHRD,46,0,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Credit Card,43.27,1990.42,21,No,No,No,84.25,3847.6,0.0,1007,Oakland,37.787186,-122.14633,24518
0244-LGNFY,Stayed,No,,,Female,35,No,Yes,1,94960,BVTA-MWIKK,72,4,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,30.0,2160.0,19,Yes,Yes,Yes,92.65,6733.0,0.0,1050,San Anselmo,37.99272,-122.575026,16849
0248-IPDFW,Joined,No,,,Female,19,No,No,0,92530,KFUY-YZLQP,1,0,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,29.13,29.13,51,No,No,No,50.1,50.1,0.0,494,Lake Elsinore,33.655421,-117.391751,38519
0254-FNMCI,Stayed,No,,,Female,19,No,No,0,90241,ASKD-HPTRN,72,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,41.91,3017.52,73,Yes,Yes,Yes,109.9,7624.2,0.0,72,Downey,33.940884,-118.128628,40152
0254-WWRKD,Stayed,No,,,Female,44,No,Yes,3,95925,ENZE-ZWRWT,67,1,Yes,Cable,Yes,Yes,No,No,No,Yes,No,One Year,No,Credit Card,46.9,3142.3,28,No,No,No,50.55,3431.75,0.0,1466,Challenge,39.461768,-121.195825,262
0257-KXZGU,Stayed,No,,,Female,29,No,Yes,1,95051,HHQC-UBCYU,32,9,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,33.28,1064.96,51,No,No,Yes,62.45,2045.55,0.0,1083,Santa Clara,37.348129,-121.98469,52986
0257-ZESQC,Churned,Yes,Attitude,Attitude of support person,Female,80,Yes,Yes,0,92571,HUQT-CQZCW,27,2,Yes,Cable,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,7.02,189.54,25,No,No,No,75.2,1929.35,0.0,512,Perris,33.828289,-117.201666,26357
0264-CNITK,Stayed,No,,,Female,45,No,Yes,2,96106,IOJG-OBBTL,71,1,No,None,No,Yes,No,No,No,No,No,Two Year,No,Bank Withdrawal,31.03,2203.13,0,No,No,No,20.1,1389.6,0.0,1593,Clio,39.745805,-120.580882,88
0266-GMEAO,Stayed,No,,,Male,43,No,Yes,1,93436,IQZD-JZZPZ,72,1,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,15.94,1147.68,13,Yes,Yes,Yes,114.3,8058.55,0.0,713,Lompoc,34.601055,-120.382917,51737
0268-QKIWO,Churned,Yes,Attitude,Attitude of support person,Female,41,No,No,0,95664,BTHX-GPBHH,3,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.63,73.89,0,No,No,No,19.75,58.85,0.0,1377,Pilot Hill,38.803731,-121.043799,1173
0270-THENM,Stayed,No,,,Male,62,No,Yes,2,91345,BFWR-SBYVP,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,28.37,2042.64,18,No,No,No,69.85,5102.35,25.24,207,Mission Hills,34.266389,-118.459744,17112
0281-CNTZX,Stayed,No,,,Male,56,No,Yes,0,94060,ACOG-YBIQX,63,2,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,38.36,2416.68,0,No,No,No,19.95,1234.8,0.0,878,Pescadero,37.22565,-122.297533,2055
0282-NVSJS,Stayed,No,,,Female,70,Yes,Yes,1,95004,JLFC-FDPQV,12,1,Yes,DSL,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Mailed Check,0.0,0.0,14,No,No,No,29.3,355.9,0.0,1060,Aromas,36.878364,-121.629781,3373
0285-INHLN,Stayed,No,,,Male,54,No,Yes,6,93603,CONV-ESGRR,27,5,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,36.19,977.13,53,No,No,No,54.75,1510.3,0.0,769,Badger,36.64545,-118.924982,273
0289-IVARM,Stayed,No,,,Female,57,No,No,0,93648,DSAA-NEXTT,35,0,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,44.81,1568.35,20,No,No,No,60.55,1982.6,0.0,803,Parlier,36.622237,-119.521126,12587
0295-PPHDO,Churned,Yes,Competitor,Competitor had better devices,Male,56,No,No,0,91744,FKHL-YHUMS,1,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,5.59,5.59,2,Yes,Yes,Yes,95.45,95.45,0.0,257,La Puente,34.031441,-117.936436,84965
0298-XACET,Stayed,No,,,Male,35,No,Yes,2,95916,AMNQ-VZXKW,52,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Two Year,No,Credit Card,0.0,0.0,17,Yes,No,No,50.2,2554.0,27.01,1459,Berry Creek,39.657228,-121.37778,1279
0301-FIDRB,Stayed,No,,,Female,61,No,Yes,3,95439,DJRL-HLIXM,72,8,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,22,Yes,Yes,Yes,63.8,4684.3,0.0,1245,Fulton,38.493888,-122.777141,476
0305-SQECB,Stayed,No,,,Female,54,No,No,1,90248,DZYM-PSAXC,11,0,Yes,DSL,No,No,No,Yes,Yes,No,No,One Year,Yes,Credit Card,0.0,0.0,17,No,No,No,36.05,402.6,0.0,76,Gardena,33.876482,-118.284077,9960
0308-GIQJT,Stayed,No,,,Male,80,Yes,No,0,92126,FYNO-DIHWI,71,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,One Year,No,Bank Withdrawal,6.1,433.1,9,Yes,Yes,No,105.75,7382.85,0.0,373,San Diego,32.886925,-117.152162,74232
0308-IVGOK,Stayed,No,,,Female,23,No,No,0,92703,CXKH-MVKVG,11,0,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card,0.0,0.0,59,No,No,No,40.4,422.6,0.0,563,Santa Ana,33.748635,-117.906125,70011
0310-SUCIN,Stayed,No,,,Female,50,No,Yes,0,93522,JHRC-MTTZU,71,2,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,23.06,1637.26,6,Yes,Yes,Yes,84.8,6046.1,0.0,742,Darwin,36.319181,-117.593053,64
0310-VQXAM,Stayed,No,,,Male,56,No,No,0,92404,IZZY-RXUIO,9,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,40.74,366.66,0,No,No,No,19.85,178.8,0.0,479,San Bernardino,34.183286,-117.221722,53636
0314-TKOSI,Stayed,No,,,Female,29,No,No,0,91784,DGOT-FZWZP,6,0,Yes,Cable,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,6.98,41.88,30,No,No,No,55.15,322.9,0.0,279,Upland,34.141146,-117.655583,23331
0315-LVCRK,Stayed,No,,,Male,54,No,No,0,95762,JNHI-WWKFP,11,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.57,336.27,15,No,Yes,Yes,84.8,888.75,0.0,1423,El Dorado Hills,38.684437,-121.055634,22028
0319-QZTCO,Joined,No,,,Female,25,No,Yes,2,95401,DEDZ-KMJAN,3,9,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,11.47,34.41,51,Yes,No,No,58.7,168.6,0.0,1221,Santa Rosa,38.460517,-122.790335,36125
0322-CHQRU,Churned,Yes,Competitor,Competitor had better devices,Male,63,No,No,0,93591,HIFH-WTXHG,2,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.49,50.98,9,No,No,No,45.35,89.5,0.0,766,Palmdale,34.598221,-117.79593,6787
0325-XBFAC,Churned,Yes,Competitor,Competitor offered more data,Male,44,No,No,0,95546,GHOE-KQFPN,8,0,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,19.49,155.92,10,Yes,Yes,Yes,94.7,740.3,0.0,1301,Hoopa,41.163637,-123.704841,3041
0328-GRPMV,Churned,Yes,Competitor,Competitor had better devices,Female,43,No,No,0,95527,BSFO-TTIGZ,1,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,17.37,17.37,25,No,No,No,70.1,70.1,0.0,1293,Burnt Ranch,40.854512,-123.450097,485
0334-ZFJSR,Stayed,No,,,Female,41,No,Yes,0,92123,AAJU-HMJLK,55,0,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,35.38,1945.9,13,No,No,No,66.05,3462.1,44.53,371,San Diego,32.808814,-117.134694,25232
0336-KXKFK,Stayed,No,,,Male,43,No,No,0,93453,EOID-HJLQW,72,0,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,0.0,0.0,6,Yes,Yes,Yes,61.2,4390.25,0.0,725,Santa Margarita,35.303926,-120.256567,2687
0337-CNPZE,Churned,Yes,Price,Price too high,Female,63,No,No,0,90033,JOMK-LJYLD,41,0,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,10.43,427.63,22,Yes,Yes,Yes,106.3,4443.45,0.0,30,Los Angeles,34.050198,-118.210946,49431
0345-XMMUG,Stayed,No,,,Female,29,No,Yes,0,95640,JLHQ-JALHL,46,6,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit Card,2.0,92.0,48,Yes,Yes,Yes,108.9,4854.3,0.0,1361,Ione,38.33788,-120.954202,9752
0347-UBKUZ,Stayed,No,,,Female,46,No,No,0,94404,JAEL-MLWTO,15,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Mailed Check,2.74,41.1,0,No,No,No,19.9,320.45,0.0,924,San Mateo,37.556094,-122.272437,31882
